         1       2       3       4       5       6       7       8       9      10      11      12      13      14      15
1  0.00000 2.44949 2.00000 2.00000 2.44949 2.00000 2.00000 2.44949 2.44949 2.44949 2.00000 2.44949 2.44949 2.44949 2.00000
2  2.44949 0.00000 2.44949 2.00000 2.00000 2.00000 2.00000 2.44949 2.44949 2.44949 2.44949 2.00000 2.00000 2.44949 2.44949
3  2.00000 2.44949 0.00000 2.00000 2.44949 2.44949 2.44949 2.00000 2.44949 2.00000 2.44949 2.00000 2.00000 2.44949 2.44949
4  2.00000 2.00000 2.00000 0.00000 2.00000 2.44949 2.44949 2.44949 2.00000 2.44949 2.44949 2.44949 2.44949 2.00000 2.44949
5  2.44949 2.00000 2.44949 2.00000 0.00000 2.44949 2.44949 2.00000 2.44949 2.00000 2.00000 2.44949 2.44949 2.44949 2.00000
6  2.00000 2.00000 2.44949 2.44949 2.44949 0.00000 2.44949 2.44949 2.00000 2.00000 2.00000 2.44949 2.00000 2.44949 2.44949
7  2.00000 2.00000 2.44949 2.44949 2.44949 2.44949 0.00000 2.00000 2.00000 2.44949 2.44949 2.00000 2.44949 2.44949 2.00000
8  2.44949 2.44949 2.00000 2.44949 2.00000 2.44949 2.00000 0.00000 2.00000 2.44949 2.00000 2.44949 2.00000 2.44949 2.44949
9  2.44949 2.44949 2.44949 2.00000 2.44949 2.00000 2.00000 2.00000 0.00000 2.00000 2.44949 2.44949 2.44949 2.00000 2.44949
10 2.44949 2.44949 2.00000 2.44949 2.00000 2.00000 2.44949 2.44949 2.00000 0.00000 2.44949 2.00000 2.44949 2.44949 2.00000
11 2.00000 2.44949 2.44949 2.44949 2.00000 2.00000 2.44949 2.00000 2.44949 2.44949 0.00000 2.00000 2.44949 2.00000 2.44949
12 2.44949 2.00000 2.00000 2.44949 2.44949 2.44949 2.00000 2.44949 2.44949 2.00000 2.00000 0.00000 2.44949 2.00000 2.44949
13 2.44949 2.00000 2.00000 2.44949 2.44949 2.00000 2.44949 2.00000 2.44949 2.44949 2.44949 2.44949 0.00000 2.00000 2.00000
14 2.44949 2.44949 2.44949 2.00000 2.44949 2.44949 2.44949 2.44949 2.00000 2.44949 2.00000 2.00000 2.00000 0.00000 2.00000
15 2.00000 2.44949 2.44949 2.44949 2.00000 2.44949 2.00000 2.44949 2.44949 2.00000 2.44949 2.44949 2.00000 2.00000 0.00000
